1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65
0, 0, 0, 0, 0, 0, 0, 0, 0, 549, 21, 0, 0, 0, 0, 0, 0, 6, 6319, 823, 0, 0, 0, 0, 0, 0, 270, 412557, 1550, 0, 0, 0, 0, 0, 0, 6268, 111519, 91, 0, 0, 0, 0, 0, 0, 1006, 5899, 16, 0, 0, 0, 0, 0, 0, 94, 2834, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 62, 0, 0, 0, 0, 0, 0, 3, 12526, 285, 0, 0, 0, 0, 0, 0, 367, 23096, 186, 0, 0, 0, 0, 0, 0, 976, 6957, 0, 0, 0, 0, 0, 0, 0, 14, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 954, 65, 0, 0, 0, 0, 0, 0, 22, 16304, 224, 0, 0, 0, 0, 0, 0, 315, 16865, 136, 0, 0, 0, 0, 0, 0, 629, 12217, 7, 0, 0, 0, 0, 0, 0, 201, 1123, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655, 75, 0, 0, 0, 0, 0, 0, 21, 18483, 158, 0, 0, 0, 0, 0, 0, 465, 24521, 147, 0, 0, 0, 0, 0, 0, 826, 6309, 0, 0, 0, 0, 0, 0, 0, 6, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 3210, 314, 0, 0, 0, 0, 0, 0, 213, 42005, 140, 0, 0, 0, 0, 0, 0, 933, 8745, 11, 0, 0, 0, 0, 0, 0, 26, 260, 0, 0, 0, 0, 0, 0, 0, 7, 343, 3, 0, 0, 0, 0, 0, 0, 38, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 3797, 218, 0, 0, 0, 0, 0, 0, 288, 104789, 952, 0, 0, 0, 0, 0, 0, 3079, 94907, 69, 0, 0, 0, 0, 0, 0, 280, 4852, 23, 0, 0, 0, 0, 0, 0, 123, 3173, 6, 0, 0, 0, 0, 0, 0, 92, 1908, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 20, 0, 0, 0, 0, 0, 0, 3, 2503, 198, 0, 0, 0, 0, 0, 0, 97, 61658, 665, 0, 0, 0, 0, 0, 0, 1380, 80245, 356, 0, 0, 0, 0, 0, 0, 1997, 19893, 3, 0, 0, 0, 0, 0, 0, 148, 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 1919, 67, 0, 0, 0, 0, 0, 0, 138, 74230, 1075, 0, 0, 0, 0, 0, 0, 2382, 109414, 75, 0, 0, 0, 0, 0, 0, 465, 9095, 3, 0, 0, 0, 0, 0, 0, 115, 823, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0, 5, 2788, 385, 0, 0, 0, 0, 0, 0, 111, 214075, 564, 0, 0, 0, 0, 0, 0, 2027, 46798, 273, 0, 0, 0, 0, 0, 0, 1082, 19921, 81, 0, 0, 0, 0, 0, 0, 440, 13940, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 0, 0, 0, 0, 0, 45501, 1512, 0, 0, 0, 0, 0, 0, 1275, 87995, 1593, 0, 0, 0, 0, 0, 0, 3867, 241547, 369, 0, 0, 0, 0, 0, 0, 4332, 20312, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
